EL000014	NIL0000
EL000019	NIL0001
EL000026	NIL0002
EL000029	NIL0003
EL000148	NIL0004
EL000156	NIL0005
EL000176	NIL0006
EL000281	NIL0007
EL000287	NIL0008
EL000304	NIL0009
EL000345	E0241006
EL000379	NIL0010
EL000434	NIL0011
EL000441	NIL0012
EL000445	NIL0013
EL000446	NIL0014
EL000449	NIL0015
EL000453	E0622143
EL000487	E0690904
EL000543	E0431500
EL000547	NIL0016
EL000549	NIL0017
EL000555	NIL0018
EL000602	NIL0019
EL000634	E0751697
EL000643	E0049548
EL000675	NIL0020
EL000680	NIL0021
EL000690	NIL0022
EL000697	NIL0023
EL000700	NIL0024
EL000701	NIL0025
EL000765	NIL0026
EL000766	NIL0027
EL000768	NIL0028
EL000776	NIL0029
EL000812	E0433287
EL000825	NIL0030
EL000831	NIL0031
EL000836	NIL0032
EL000848	NIL0033
EL000850	NIL0034
EL000884	E0626434
EL000969	NIL0035
EL000974	NIL0036
EL001026	NIL0037
EL001035	NIL0038
EL001046	NIL0039
EL001047	NIL0040
EL001102	E0710271
EL001125	E0363476
EL001135	E0327823
EL001145	NIL0041
EL001153	NIL0042
EL001159	NIL0043
EL001160	NIL0044
EL001164	NIL0045
EL001168	NIL0046
EL001170	NIL0047
EL001176	NIL0048
EL001184	NIL0049
EL001222	E0240415
EL001253	E0645089
EL001280	E0290954
EL001338	NIL0050
EL001344	NIL0051
EL001374	NIL0052
EL001378	NIL0053
EL001379	NIL0054
EL001388	NIL0055
EL001398	E0721307
EL001436	NIL0056
EL001459	E0194682
EL001492	NIL0057
EL001500	NIL0058
EL001504	NIL0059
EL001505	NIL0060
EL001511	NIL0061
EL001537	E0362775
EL001555	NIL0062
EL001565	NIL0063
EL001568	NIL0064
EL001573	NIL0065
EL001574	NIL0066
EL001576	NIL0067
EL001593	E0640127
EL001613	NIL0068
EL001632	E0030785
EL001690	NIL0069
EL001711	E0672481
EL001719	NIL0070
EL001733	NIL0071
EL001822	NIL0072
EL001823	NIL0073
EL001827	NIL0074
EL001829	NIL0075
EL001833	NIL0076
EL001838	NIL0077
EL001845	NIL0078
EL001850	NIL0079
EL001851	NIL0080
EL001853	NIL0081
EL001854	NIL0082
EL001856	NIL0083
EL001857	NIL0084
EL001859	NIL0085
EL001860	NIL0086
EL001883	E0362914
EL001920	NIL0087
EL001921	NIL0088
EL001923	NIL0089
EL001924	NIL0090
EL001926	NIL0091
EL001928	NIL0092
EL001931	NIL0093
EL001933	NIL0094
EL001938	NIL0095
EL001946	NIL0096
EL001961	E0482461
EL001984	NIL0097
EL002011	NIL0098
EL002025	NIL0099
EL002099	NIL0100
EL002102	NIL0101
EL002104	NIL0102
EL002106	NIL0103
EL002111	NIL0104
EL002113	NIL0105
EL002114	NIL0106
EL002117	NIL0107
EL002149	NIL0108
EL002161	NIL0109
EL002170	NIL0110
EL002192	E0264963
EL002221	E0423428
EL002265	NIL0111
EL002266	NIL0112
EL002270	NIL0113
EL002271	NIL0114
EL002272	NIL0115
EL002278	NIL0116
EL002280	NIL0117
EL002297	NIL0118
EL002318	E0582836
EL002352	E0517789
EL002362	NIL0119
EL002363	NIL0120
EL002366	NIL0121
EL002367	NIL0122
EL002373	NIL0123
EL002375	NIL0124
EL002436	NIL0125
EL002437	NIL0126
EL002441	NIL0127
EL002443	NIL0128
EL002449	NIL0129
EL002451	NIL0130
EL002455	NIL0131
EL002456	NIL0132
EL002463	E0790879
EL002475	E0790879
EL002483	NIL0133
EL002487	NIL0134
EL002488	NIL0135
EL002489	NIL0136
EL002493	NIL0137
EL002502	NIL0138
EL002505	NIL0139
EL002508	NIL0140
EL002509	NIL0141
EL002510	NIL0142
EL002513	NIL0143
EL002515	NIL0144
EL002520	NIL0145
EL002557	NIL0146
EL002606	E0642032
EL002619	NIL0147
EL002631	NIL0148
EL002634	NIL0149
EL002650	E0763217
EL002669	E0215475
EL002719	NIL0150
EL002720	NIL0151
EL002721	NIL0152
EL002724	NIL0153
EL002728	NIL0154
EL002729	NIL0155
EL002732	NIL0156
EL002738	NIL0157
EL002810	NIL0158
EL002830	NIL0159
EL002839	NIL0160
EL002889	NIL0161
EL002939	E0797446
EL002944	NIL0162
EL002946	NIL0163
EL002949	NIL0164
EL002950	NIL0165
EL002956	NIL0166
EL002958	NIL0167
EL002961	NIL0168
EL002963	NIL0169
EL002982	E0276658
EL003201	NIL0170
EL003255	NIL0171
EL003353	NIL0172
EL003363	NIL0173
EL003364	NIL0174
EL003379	E0703613
EL003380	E0703613
EL003382	E0703613
EL003391	E0703613
EL003441	E0547173
EL003472	NIL0175
EL003475	NIL0176
EL003478	NIL0177
EL003482	NIL0178
EL003485	NIL0179
EL003488	NIL0180
EL003538	E0777238
EL003550	NIL0181
EL003551	E0425172
EL003569	NIL0182
EL003619	E0068873
EL003630	NIL0183
EL003637	NIL0184
EL003657	E0750356
EL003664	E0750356
EL003674	E0495753
EL003679	E0495753
EL003681	E0495753
EL003697	E0057920
EL003708	E0057920
EL003721	NIL0185
